Transaction ID,Date,Supplier,Product ID,SKU / Barcode,Product Name,Qty Received,Unit Cost,Total Cost,DR No,Source File
TXN-000001,01/02/2025,DYNA DRUG CORPORATION,PRD-01930,4804005923788,PLEMEX FORTE CAP 600MG X100,200,6.17,1234.0,3602001,2025_csv
TXN-000002,01/02/2025,DYNA DRUG CORPORATION,PRD-01934,4802672473772,PLEMEX KIDS SYR 60ML,20,89.76,1795.2,3602001,2025_csv
TXN-000003,01/02/2025,DYNA DRUG CORPORATION,PRD-02006,4802347551072,PROPAN TLC SYR 120ML,5,196.95,984.75,3602001,2025_csv
TXN-000004,01/02/2025,DYNA DRUG CORPORATION,PRD-02007,4804122677238,PROPAN TLC SYR 60ML,10,116.82,1168.2,3602001,2025_csv
TXN-000005,01/02/2025,DYNA DRUG CORPORATION,PRD-02348,4809266782874,STRESSTABS TAB X100,100,10.22,1022.0,3602001,2025_csv
TXN-000006,01/02/2025,DYNA DRUG CORPORATION,PRD-02401,4802387066851,TAPDIN TAB 5MG X100,100,6.53,653.0,3602001,2025_csv
TXN-000007,01/02/2025,DYNA DRUG CORPORATION,PRD-02431,4800804474636,TEMPRAZIN 5MG/5ML SYR 60ML,5,188.33,941.65,3602001,2025_csv
TXN-000008,01/02/2025,DYNA DRUG CORPORATION,PRD-02552,4806474982778,VENTOLIN ORANGE SYR 60ML,3,255.24,765.72,3602001,2025_csv
TXN-000009,01/02/2025,DYNA DRUG CORPORATION,PRD-02591,4807949166603,VIVALYTE ORANGE 250ML X6,12,47.31,567.72,3602001,2025_csv
TXN-000010,01/02/2025,DYNA DRUG CORPORATION,PRD-02590,4803255573323,VIVALYTE APPLE 250ML X6,12,42.98,515.76,3602001,2025_csv
TXN-000011,01/02/2025,DYNA DRUG CORPORATION,PRD-00839,4805645928545,EQ PANTS XL24,5,202.62,1013.1,3602001,2025_csv
TXN-000012,01/02/2025,DYNA DRUG CORPORATION,PRD-01100,4805498979427,HAPPY PANTS M12,5,88.54,442.7,3602001,2025_csv
TXN-000013,01/02/2025,DYNA DRUG CORPORATION,PRD-00075,4804673482258,ANMUM CHOCO 180G,3,192.81,578.43,3602001,2025_csv
TXN-000014,01/02/2025,DYNA DRUG CORPORATION,PRD-00844,4800945913065,ERCEFLORA KIDDIE/GUT DEFENSE 5ML X10,100,41.09,4109.0,3602001,2025_csv
TXN-000015,01/02/2025,DYNA DRUG CORPORATION,PRD-01368,4805386588982,LACTUM 3+ 350G,10,242.86,2428.6,3602001,2025_csv
TXN-000016,01/02/2025,DYNA DRUG CORPORATION,PRD-00368,4803911804606,CARESS UNDERPADS M10,2,173.76,347.52,3602001,2025_csv
TXN-000017,01/02/2025,DYNA DRUG CORPORATION,PRD-00369,4804369611254,CARESS UNDERPADS XL8,2,154.66,309.32,3602001,2025_csv
TXN-000018,01/02/2025,DYNA DRUG CORPORATION,PRD-00365,4801051194393,CARESS DIAPER MEDIUM 10S,5,164.78,823.9,3602001,2025_csv
TXN-000019,01/02/2025,DYNA DRUG CORPORATION,PRD-00367,4808995846146,CARESS UNDERPADS L8,3,148.9,446.7,3602001,2025_csv
TXN-000020,01/02/2025,DYNA DRUG CORPORATION,PRD-00829,4805241327333,EQ DRY DIAPER NB22,5,155.26,776.3,3602002,2025_csv
TXN-000021,01/02/2025,DYNA DRUG CORPORATION,PRD-01075,4806902589231,GRAND ADULT DIAPER L8,3,172.73,518.19,3602002,2025_csv
TXN-000022,01/02/2025,DYNA DRUG CORPORATION,PRD-01341,4806020642055,LACTACYD BABY BATH BLUE 150ML,3,172.13,516.39,3051329662,2025_csv
TXN-000023,01/02/2025,DYNA DRUG CORPORATION,PRD-01350,4807708217144,LACTACYD PRO SENSITIVE 60ML,5,73.63,368.15,3051329662,2025_csv
TXN-000024,01/02/2025,DYNA DRUG CORPORATION,PRD-02036,4806190923490,RDL BABYFACE FC CUCUMBER 75ML,3,24.79,74.37,3051329662,2025_csv
TXN-000025,01/02/2025,DYNA DRUG CORPORATION,PRD-02034,4803951738371,RDL BABYFACE FC AVOCADO 75ML,3,24.79,74.37,3051329662,2025_csv
TXN-000026,01/02/2025,DYNA DRUG CORPORATION,PRD-02274,4809042281553,SISTERS DRY NIGHT VIOLET 8S,36,25.6,921.6,3051329662,2025_csv
TXN-000027,01/02/2025,DYNA DRUG CORPORATION,PRD-02277,4803337345484,SISTERS PLINER COTTONY VIOLET 20S,20,17.61,352.2,3051329662,2025_csv
TXN-000028,01/02/2025,DYNA DRUG CORPORATION,PRD-01530,4809911345399,MEDIPLAST BAND-AID BANTAM X100,500,1.21,605.0,3051329662,2025_csv
TXN-000029,01/02/2025,DYNA DRUG CORPORATION,PRD-01554,4806685516848,MESTIZA SOAP 125G,5,62.56,312.8,3051329662,2025_csv
